epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6053,2.19799,5.19815,1.7717,0.01334,0.69351,0.02217,0.0132,1.34766,3.66555,1.17988,7.05943e-05,7.05943e-05,7.05943e-05
2,100.985,1.27573,4.01465,1.20421,0.10221,0.19998,0.05088,0.03248,1.25911,3.15582,1.10395,0.000127576,0.000127576,0.000127576
3,136.15,1.1793,3.59805,1.14991,0.10159,0.11126,0.07568,0.05296,1.08306,2.90747,1.02103,0.000170501,0.000170501,0.000170501
4,169.835,1.10374,3.31651,1.1088,0.14986,0.18115,0.10402,0.07458,0.99841,2.66997,1.00353,0.000149739,0.000149739,0.000149739
5,202.958,1.04294,3.12777,1.0745,0.15444,0.18806,0.11994,0.08401,0.9797,2.5856,0.99324,0.000128652,0.000128652,0.000128652
6,235.127,1.00889,3.00726,1.05861,0.14853,0.2349,0.14988,0.10908,0.95704,2.4184,0.95444,0.000107565,0.000107565,0.000107565
7,267.371,0.96804,2.90128,1.03979,0.17932,0.27373,0.17555,0.13071,0.90689,2.34703,0.95172,8.6478e-05,8.6478e-05,8.6478e-05
8,299.909,0.94802,2.82875,1.03123,0.14702,0.30072,0.19658,0.14676,0.86906,2.28645,0.93656,6.5391e-05,6.5391e-05,6.5391e-05
9,333.02,0.92268,2.75745,1.02318,0.18061,0.31804,0.20833,0.15843,0.87193,2.23813,0.93048,4.4304e-05,4.4304e-05,4.4304e-05
10,365.424,0.92238,2.73744,1.01483,0.14313,0.3035,0.21624,0.16534,0.84212,2.21667,0.92278,2.3217e-05,2.3217e-05,2.3217e-05
